STATE,COUNTY,CITY,ZipCode
FL,HILLSBOROUGH,APOLLO BEACH,33572
FL,HILLSBOROUGH,RUSKIN,33570
FL,HILLSBOROUGH,RUSKIN,33575
FL,HILLSBOROUGH,SUN CITY,33586
FL,HILLSBOROUGH,SUN CITY CENTER,33571
FL,HILLSBOROUGH,SUN CITY CENTER,33573
FL,HILLSBOROUGH,TAMPA,33601
FL,HILLSBOROUGH,TAMPA,33602
FL,HILLSBOROUGH,TAMPA,33605
FL,HILLSBOROUGH,TAMPA,33606
FL,HILLSBOROUGH,TAMPA,33608
FL,HILLSBOROUGH,TAMPA,33609
FL,HILLSBOROUGH,TAMPA,33611
FL,HILLSBOROUGH,TAMPA,33616
FL,HILLSBOROUGH,TAMPA,33619
FL,HILLSBOROUGH,TAMPA,33621
FL,HILLSBOROUGH,TAMPA,33622
FL,HILLSBOROUGH,TAMPA,33623
FL,HILLSBOROUGH,TAMPA,33629
FL,HILLSBOROUGH,TAMPA,33631
FL,HILLSBOROUGH,TAMPA,33633
FL,HILLSBOROUGH,TAMPA,33650
FL,HILLSBOROUGH,TAMPA,33655
FL,HILLSBOROUGH,TAMPA,33660
FL,HILLSBOROUGH,TAMPA,33661
FL,HILLSBOROUGH,TAMPA,33662
FL,HILLSBOROUGH,TAMPA,33663
FL,HILLSBOROUGH,TAMPA,33664
FL,HILLSBOROUGH,TAMPA,33672
FL,HILLSBOROUGH,TAMPA,33673
FL,HILLSBOROUGH,TAMPA,33674
FL,HILLSBOROUGH,TAMPA,33675
FL,HILLSBOROUGH,TAMPA,33677
FL,HILLSBOROUGH,TAMPA,33679
FL,HILLSBOROUGH,TAMPA,33680
FL,HILLSBOROUGH,TAMPA,33681
FL,HILLSBOROUGH,TAMPA,33682
FL,HILLSBOROUGH,TAMPA,33684
FL,HILLSBOROUGH,TAMPA,33685
FL,HILLSBOROUGH,TAMPA,33686
FL,HILLSBOROUGH,TAMPA,33687
FL,HILLSBOROUGH,TAMPA,33688
FL,HILLSBOROUGH,TAMPA,33689
FL,HILLSBOROUGH,TAMPA,33694
FL,MANATEE,BRADENTON,34201
FL,MANATEE,BRADENTON,34202
FL,MANATEE,BRADENTON,34203
FL,MANATEE,BRADENTON,34204
FL,MANATEE,BRADENTON,34205
FL,MANATEE,BRADENTON,34206
FL,MANATEE,BRADENTON,34207
FL,MANATEE,BRADENTON,34208
FL,MANATEE,BRADENTON,34209
FL,MANATEE,BRADENTON,34210
FL,MANATEE,BRADENTON,34211
FL,MANATEE,BRADENTON,34212
FL,MANATEE,BRADENTON,34280
FL,MANATEE,BRADENTON,34281
FL,MANATEE,BRADENTON,34282
FL,MANATEE,BRADENTON BEACH,34217
FL,MANATEE,HOLMES BEACH,34218
FL,MANATEE,SARASOTA,34243
FL,MANATEE,SARASOTA,34260
FL,MARTIN,INDIANTOWN,34956
FL,MARTIN,JENSEN BEACH,34957
FL,MARTIN,JENSEN BEACH,34958
FL,SAINT LUCIE,FORT PIERCE,34950
FL,SAINT LUCIE,FORT PIERCE,34951
FL,SAINT LUCIE,FORT PIERCE,34954
FL,SAINT LUCIE,FORT PIERCE,34982
FL,SAINT LUCIE,PORT SAINT LUCIE,34952
FL,SAINT LUCIE,PORT SAINT LUCIE,34953
FL,SAINT LUCIE,PORT SAINT LUCIE,34983
FL,SAINT LUCIE,PORT SAINT LUCIE,34984
FL,SAINT LUCIE,PORT SAINT LUCIE,34985
FL,SAINT LUCIE,PORT SAINT LUCIE,34986
FL,SAINT LUCIE,PORT SAINT LUCIE,34987
FL,SAINT LUCIE,PORT SAINT LUCIE,34988
State,County,City,ZipCode
FL,ALACHUA,ALACHUA,32615
FL,ALACHUA,ALACHUA,32616
FL,ALACHUA,ARCHER,32618
FL,ALACHUA,EARLETON,32631
FL,ALACHUA,EVINSTON,32633
FL,ALACHUA,GAINESVILLE,32601
FL,ALACHUA,GAINESVILLE,32602
FL,ALACHUA,GAINESVILLE,32603
FL,ALACHUA,GAINESVILLE,32604
FL,ALACHUA,GAINESVILLE,32605
FL,ALACHUA,GAINESVILLE,32606
FL,ALACHUA,GAINESVILLE,32607
FL,ALACHUA,GAINESVILLE,32608
FL,ALACHUA,GAINESVILLE,32609
FL,ALACHUA,GAINESVILLE,32610
FL,ALACHUA,GAINESVILLE,32611
FL,ALACHUA,GAINESVILLE,32612
FL,ALACHUA,GAINESVILLE,32614
FL,ALACHUA,GAINESVILLE,32627
FL,ALACHUA,GAINESVILLE,32635
FL,ALACHUA,GAINESVILLE,32641
FL,ALACHUA,GAINESVILLE,32653
FL,ALACHUA,HAWTHORNE,32640
FL,ALACHUA,HIGH SPRINGS,32643
FL,ALACHUA,HIGH SPRINGS,32655
FL,ALACHUA,ISLAND GROVE,32654
FL,ALACHUA,LA CROSSE,32658
FL,ALACHUA,LOCHLOOSA,32662
FL,ALACHUA,MICANOPY,32667
FL,ALACHUA,NEWBERRY,32669
FL,ALACHUA,WALDO,32694
FL,BAKER,GLEN SAINT MARY,32040
FL,BAKER,MACCLENNY,32063
FL,BAKER,OLUSTEE,32072
FL,BAKER,SANDERSON,32087
FL,BAY,FOUNTAIN,32438
FL,BAY,LYNN HAVEN,32444
FL,BAY,MEXICO BEACH,32410
FL,BAY,PANAMA CITY,32401
FL,BAY,PANAMA CITY,32402
FL,BAY,PANAMA CITY,32403
FL,BAY,PANAMA CITY,32404
FL,BAY,PANAMA CITY,32405
FL,BAY,PANAMA CITY,32406
FL,BAY,PANAMA CITY,32408
FL,BAY,PANAMA CITY,32409
FL,BAY,PANAMA CITY,32411
FL,BAY,PANAMA CITY,32412
FL,BAY,PANAMA CITY,32417
FL,BAY,PANAMA CITY BEACH,32407
FL,BAY,PANAMA CITY BEACH,32413
FL,BAY,YOUNGSTOWN,32466
FL,BRADFORD,BROOKER,32622
FL,BRADFORD,GRAHAM,32042
FL,BRADFORD,HAMPTON,32044
FL,BRADFORD,LAWTEY,32058
FL,BRADFORD,STARKE,32091
FL,BREVARD,CAPE CANAVERAL,32920
FL,BREVARD,COCOA,32922
FL,BREVARD,COCOA,32923
FL,BREVARD,COCOA,32924
FL,BREVARD,COCOA,32926
FL,BREVARD,COCOA,32927
FL,BREVARD,COCOA BEACH,32931
FL,BREVARD,COCOA BEACH,32932
FL,BREVARD,GRANT,32949
FL,BREVARD,INDIALANTIC,32903
FL,BREVARD,MALABAR,32950
FL,BREVARD,MELBOURNE,32901
FL,BREVARD,MELBOURNE,32902
FL,BREVARD,MELBOURNE,32904
FL,BREVARD,MELBOURNE,32912
FL,BREVARD,MELBOURNE,32919
FL,BREVARD,MELBOURNE,32934
FL,BREVARD,MELBOURNE,32935
FL,BREVARD,MELBOURNE,32936
FL,BREVARD,MELBOURNE,32940
FL,BREVARD,MELBOURNE,32941
FL,BREVARD,MELBOURNE BEACH,32951
FL,BREVARD,MERRITT ISLAND,32952
FL,BREVARD,MERRITT ISLAND,32953
FL,BREVARD,MERRITT ISLAND,32954
FL,BREVARD,MIMS,32754
FL,BREVARD,ORLANDO,32815
FL,BREVARD,ORLANDO,32899
FL,BREVARD,PALM BAY,32905
FL,BREVARD,PALM BAY,32906
FL,BREVARD,PALM BAY,32907
FL,BREVARD,PALM BAY,32908
FL,BREVARD,PALM BAY,32909
FL,BREVARD,PALM BAY,32910
FL,BREVARD,PALM BAY,32911
FL,BREVARD,PATRICK AFB,32925
FL,BREVARD,ROCKLEDGE,32955
FL,BREVARD,ROCKLEDGE,32956
FL,BREVARD,SATELLITE BEACH,32937
FL,BREVARD,SCOTTSMOOR,32775
FL,BREVARD,SEBASTIAN,32976
FL,BREVARD,SHARPES,32959
FL,BREVARD,TITUSVILLE,32780
FL,BREVARD,TITUSVILLE,32781
FL,BREVARD,TITUSVILLE,32783
FL,BREVARD,TITUSVILLE,32796
FL,CALHOUN,ALTHA,32421
FL,CALHOUN,BLOUNTSTOWN,32424
FL,CALHOUN,CLARKSVILLE,32430
FL,CALHOUN,WEWAHITCHKA,32449
FL,CITRUS,BEVERLY HILLS,34464
FL,CITRUS,BEVERLY HILLS,34465
FL,CITRUS,CRYSTAL RIVER,34423
FL,CITRUS,CRYSTAL RIVER,34428
FL,CITRUS,CRYSTAL RIVER,34429
FL,CITRUS,DUNNELLON,34433
FL,CITRUS,DUNNELLON,34434
FL,CITRUS,FLORAL CITY,34436
FL,CITRUS,HERNANDO,34441
FL,CITRUS,HERNANDO,34442
FL,CITRUS,HOLDER,34445
FL,CITRUS,HOMOSASSA,34446
FL,CITRUS,HOMOSASSA,34448
FL,CITRUS,HOMOSASSA,34487
FL,CITRUS,HOMOSASSA SPRINGS,34447
FL,CITRUS,INVERNESS,34450
FL,CITRUS,INVERNESS,34451
FL,CITRUS,INVERNESS,34452
FL,CITRUS,INVERNESS,34453
FL,CITRUS,LECANTO,34460
FL,CITRUS,LECANTO,34461
FL,CLAY,DOCTORS INLET,32030
FL,CLAY,FLEMING ISLAND,32003
FL,CLAY,FLEMING ISLAND,32006
FL,CLAY,GREEN COVE SPRINGS,32043
FL,CLAY,KEYSTONE HEIGHTS,32656
FL,CLAY,LAKE GENEVA,32160
FL,CLAY,MIDDLEBURG,32050
FL,CLAY,MIDDLEBURG,32068
FL,CLAY,ORANGE PARK,32065
FL,CLAY,ORANGE PARK,32067
FL,CLAY,ORANGE PARK,32073
FL,CLAY,PENNEY FARMS,32079
FL,COLUMBIA,FORT WHITE,32038
FL,COLUMBIA,LAKE CITY,32024
FL,COLUMBIA,LAKE CITY,32025
FL,COLUMBIA,LAKE CITY,32055
FL,COLUMBIA,LAKE CITY,32056
FL,COLUMBIA,LULU,32061
FL,DIXIE,CROSS CITY,32628
FL,DIXIE,HORSESHOE BEACH,32648
FL,DIXIE,OLD TOWN,32680
FL,DIXIE,SUWANNEE,32692
FL,DUVAL,ATLANTIC BEACH,32233
FL,DUVAL,JACKSONVILLE,32099
FL,DUVAL,JACKSONVILLE,32201
FL,DUVAL,JACKSONVILLE,32202
FL,DUVAL,JACKSONVILLE,32203
FL,DUVAL,JACKSONVILLE,32204
FL,DUVAL,JACKSONVILLE,32205
FL,DUVAL,JACKSONVILLE,32206
FL,DUVAL,JACKSONVILLE,32207
FL,DUVAL,JACKSONVILLE,32208
FL,DUVAL,JACKSONVILLE,32209
FL,DUVAL,JACKSONVILLE,32210
FL,DUVAL,JACKSONVILLE,32211
FL,DUVAL,JACKSONVILLE,32212
FL,DUVAL,JACKSONVILLE,32214
FL,DUVAL,JACKSONVILLE,32216
FL,DUVAL,JACKSONVILLE,32217
FL,DUVAL,JACKSONVILLE,32218
FL,DUVAL,JACKSONVILLE,32219
FL,DUVAL,JACKSONVILLE,32220
FL,DUVAL,JACKSONVILLE,32221
FL,DUVAL,JACKSONVILLE,32222
FL,DUVAL,JACKSONVILLE,32223
FL,DUVAL,JACKSONVILLE,32224
FL,DUVAL,JACKSONVILLE,32225
FL,DUVAL,JACKSONVILLE,32226
FL,DUVAL,JACKSONVILLE,32227
FL,DUVAL,JACKSONVILLE,32228
FL,DUVAL,JACKSONVILLE,32229
FL,DUVAL,JACKSONVILLE,32231
FL,DUVAL,JACKSONVILLE,32232
FL,DUVAL,JACKSONVILLE,32234
FL,DUVAL,JACKSONVILLE,32235
FL,DUVAL,JACKSONVILLE,32236
FL,DUVAL,JACKSONVILLE,32237
FL,DUVAL,JACKSONVILLE,32238
FL,DUVAL,JACKSONVILLE,32239
FL,DUVAL,JACKSONVILLE,32241
FL,DUVAL,JACKSONVILLE,32244
FL,DUVAL,JACKSONVILLE,32245
FL,DUVAL,JACKSONVILLE,32246
FL,DUVAL,JACKSONVILLE,32247
FL,DUVAL,JACKSONVILLE,32254
FL,DUVAL,JACKSONVILLE,32255
FL,DUVAL,JACKSONVILLE,32256
FL,DUVAL,JACKSONVILLE,32257
FL,DUVAL,JACKSONVILLE,32258
FL,DUVAL,JACKSONVILLE,32277
FL,DUVAL,JACKSONVILLE BEACH,32240
FL,DUVAL,JACKSONVILLE BEACH,32250
FL,DUVAL,NEPTUNE BEACH,32266
FL,ESCAMBIA,CANTONMENT,32533
FL,ESCAMBIA,CENTURY,32535
FL,ESCAMBIA,GONZALEZ,32560
FL,ESCAMBIA,MC DAVID,32568
FL,ESCAMBIA,MOLINO,32577
FL,ESCAMBIA,PENSACOLA,32501
FL,ESCAMBIA,PENSACOLA,32502
FL,ESCAMBIA,PENSACOLA,32503
FL,ESCAMBIA,PENSACOLA,32504
FL,ESCAMBIA,PENSACOLA,32505
FL,ESCAMBIA,PENSACOLA,32506
FL,ESCAMBIA,PENSACOLA,32507
FL,ESCAMBIA,PENSACOLA,32508
FL,ESCAMBIA,PENSACOLA,32509
FL,ESCAMBIA,PENSACOLA,32511
FL,ESCAMBIA,PENSACOLA,32512
FL,ESCAMBIA,PENSACOLA,32513
FL,ESCAMBIA,PENSACOLA,32514
FL,ESCAMBIA,PENSACOLA,32516
FL,ESCAMBIA,PENSACOLA,32520
FL,ESCAMBIA,PENSACOLA,32521
FL,ESCAMBIA,PENSACOLA,32522
FL,ESCAMBIA,PENSACOLA,32523
FL,ESCAMBIA,PENSACOLA,32524
FL,ESCAMBIA,PENSACOLA,32526
FL,ESCAMBIA,PENSACOLA,32534
FL,ESCAMBIA,PENSACOLA,32559
FL,ESCAMBIA,PENSACOLA,32591
FL,FLAGLER,BUNNELL,32110
FL,FLAGLER,FLAGLER BEACH,32136
FL,FLAGLER,PALM COAST,32135
FL,FLAGLER,PALM COAST,32137
FL,FLAGLER,PALM COAST,32142
FL,FLAGLER,PALM COAST,32143
FL,FLAGLER,PALM COAST,32164
FL,FRANKLIN,APALACHICOLA,32320
FL,FRANKLIN,APALACHICOLA,32329
FL,FRANKLIN,CARRABELLE,32322
FL,FRANKLIN,EASTPOINT,32328
FL,FRANKLIN,LANARK VILLAGE,32323
FL,GADSDEN,CHATTAHOOCHEE,32324
FL,GADSDEN,GREENSBORO,32330
FL,GADSDEN,GRETNA,32332
FL,GADSDEN,HAVANA,32333
FL,GADSDEN,MIDWAY,32343
FL,GADSDEN,QUINCY,32351
FL,GADSDEN,QUINCY,32352
FL,GADSDEN,QUINCY,32353
FL,GILCHRIST,BELL,32619
FL,GILCHRIST,TRENTON,32693
FL,GULF,PORT SAINT JOE,32456
FL,GULF,PORT SAINT JOE,32457
FL,GULF,WEWAHITCHKA,32465
FL,HAMILTON,JASPER,32052
FL,HAMILTON,JENNINGS,32053
FL,HAMILTON,WHITE SPRINGS,32096
FL,HARDEE,BOWLING GREEN,33834
FL,HARDEE,ONA,33865
FL,HARDEE,WAUCHULA,33873
FL,HARDEE,ZOLFO SPRINGS,33890
FL,HERNANDO,BROOKSVILLE,34601
FL,HERNANDO,BROOKSVILLE,34602
FL,HERNANDO,BROOKSVILLE,34603
FL,HERNANDO,BROOKSVILLE,34604
FL,HERNANDO,BROOKSVILLE,34605
FL,HERNANDO,BROOKSVILLE,34613
FL,HERNANDO,BROOKSVILLE,34614
FL,HERNANDO,ISTACHATTA,34636
FL,HERNANDO,NOBLETON,34661
FL,HERNANDO,SPRING HILL,34606
FL,HERNANDO,SPRING HILL,34607
FL,HERNANDO,SPRING HILL,34608
FL,HERNANDO,SPRING HILL,34609
FL,HERNANDO,SPRING HILL,34611
FL,HIGHLANDS,AVON PARK,33825
FL,HIGHLANDS,AVON PARK,33826
FL,HIGHLANDS,LAKE PLACID,33852
